******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : fwulxth

word : ug anchor( col :  9 row : 10 ) score : 3 new tiles : u    Heuristic : -12
word : fug anchor( col :  9 row : 10 ) score : 7 new tiles : fu    Heuristic : -5
word : lug anchor( col :  9 row : 10 ) score : 4 new tiles : lu    Heuristic : -9
word : tug anchor( col :  9 row : 10 ) score : 4 new tiles : tu    Heuristic : -10
word : hug anchor( col :  9 row : 10 ) score : 7 new tiles : hu    Heuristic : -7.5
word : thug anchor( col :  9 row : 10 ) score : 8 new tiles : thu    Heuristic : -5.5
word : ugh anchor( col :  9 row : 10 ) score : 7 new tiles : uh    Heuristic : -7.5
word : ut anchor( col :  9 row : 10 ) score : 5 new tiles : ut    Heuristic : -9
word : uh anchor( col :  9 row : 10 ) score : 8 new tiles : uh    Heuristic : -6.5
word : gu anchor( col :  11 row : 10 ) score : 3 new tiles : u    Heuristic : -12
word : gul anchor( col :  11 row : 10 ) score : 4 new tiles : ul    Heuristic : -9
word : gulf anchor( col :  11 row : 10 ) score : 8 new tiles : ulf    Heuristic : -2
word : gut anchor( col :  11 row : 10 ) score : 4 new tiles : ut    Heuristic : -10
word : glut anchor( col :  11 row : 10 ) score : 5 new tiles : lut    Heuristic : -7
word : ut anchor( col :  11 row : 10 ) score : 7 new tiles : ut    Heuristic : -7
word : uh anchor( col :  11 row : 10 ) score : 13 new tiles : uh    Heuristic : -1.5
word : we anchor( col :  11 row : 5 ) score : 5 new tiles : e    Heuristic : -18.5
word : wet anchor( col :  11 row : 5 ) score : 6 new tiles : et    Heuristic : -16.5
word : wem anchor( col :  11 row : 5 ) score : 8 new tiles : em    Heuristic : -13.5
word : te anchor( col :  11 row : 5 ) score : 7 new tiles : te    Heuristic : -15.5
word : me anchor( col :  11 row : 5 ) score : 9 new tiles : me    Heuristic : -12.5
word : met anchor( col :  11 row : 5 ) score : 13 new tiles : met    Heuristic : -7.5
