******HUMAN TURN******

******HUMAN RESULT******
RACK : ZKHPIE*

HUMAN MOVE : heap , new tiles : hpe* , score : 16 , direction : 2 , col : 7 , row : 11


******COMPUTER TURN******
RACK : avhdopr

word : rid anchor( col :  6 row : 4 ) score : 4 new tiles : r    Heuristic : -10
word : aid anchor( col :  6 row : 4 ) score : 4 new tiles : a    Heuristic : -12.5
word : oup anchor( col :  10 row : 5 ) score : 5 new tiles : p    Heuristic : -6
word : our anchor( col :  10 row : 5 ) score : 3 new tiles : r    Heuristic : -11
word : var anchor( col :  6 row : 6 ) score : 23 new tiles : v    Heuristic : 16
word : par anchor( col :  6 row : 6 ) score : 19 new tiles : p    Heuristic : 8
word : jar anchor( col :  6 row : 6 ) score : 39 new tiles : j    Heuristic : 29.5
word : vaw anchor( col :  6 row : 6 ) score : 23 new tiles : v    Heuristic : 16
word : paw anchor( col :  6 row : 6 ) score : 19 new tiles : p    Heuristic : 8
word : jaw anchor( col :  6 row : 6 ) score : 39 new tiles : j    Heuristic : 29.5
word : hah anchor( col :  5 row : 7 ) score : 9 new tiles : h    Heuristic : 0
word : pah anchor( col :  5 row : 7 ) score : 8 new tiles : p    Heuristic : -3
word : rah anchor( col :  5 row : 7 ) score : 6 new tiles : r    Heuristic : -8
word : aah anchor( col :  5 row : 7 ) score : 6 new tiles : a    Heuristic : -10.5
word : awe anchor( col :  5 row : 8 ) score : 6 new tiles : a    Heuristic : -10.5
word : aa anchor( col :  6 row : 9 ) score : 8 new tiles : a    Heuristic : -8.5
word : awa anchor( col :  6 row : 9 ) score : 8 new tiles : a    Heuristic : -8.5
word : ah anchor( col :  8 row : 9 ) score : 5 new tiles : h    Heuristic : -4
word : ar anchor( col :  8 row : 9 ) score : 2 new tiles : r    Heuristic : -12
word : aa anchor( col :  8 row : 9 ) score : 2 new tiles : a    Heuristic : -14.5
word : pa anchor( col :  8 row : 10 ) score : 4 new tiles : a    Heuristic : -12.5
word : xi anchor( col :  7 row : 3 ) score : 17 new tiles : x    Heuristic : 0
word : ki anchor( col :  7 row : 3 ) score : 11 new tiles : k    Heuristic : -7
word : pi anchor( col :  7 row : 3 ) score : 7 new tiles : p    Heuristic : -12
word : di anchor( col :  7 row : 3 ) score : 5 new tiles : d    Heuristic : -15.5
word : vid anchor( col :  6 row : 4 ) score : 7 new tiles : v    Heuristic : -8
word : rid anchor( col :  6 row : 4 ) score : 4 new tiles : r    Heuristic : -18
word : kid anchor( col :  6 row : 4 ) score : 8 new tiles : k    Heuristic : -10
word : did anchor( col :  6 row : 4 ) score : 5 new tiles : d    Heuristic : -15.5
word : var anchor( col :  6 row : 6 ) score : 23 new tiles : v    Heuristic : 8
